Make add request,1000,21,16,27,31,48,0,3943,0.10%,12.6,.1
Make modify request,1000,16,13,23,27,58,0,1328,0.10%,.0,.0
Make search request,1000,6,4,15,18,23,0,32,0.00%,12.6,.1
Make delete request,1000,70,17,32,59,305,3,19301,0.00%,12.6,.1
TOTAL,4000,28,12,24,30,76,0,19301,0.05%,.0,.0
