Make add request,1000,32,24,62,74,110,4,1830,0.00%,9.3,.1
Make modify request,1000,25,23,45,54,86,4,161,0.00%,9.3,.1
Make search request,1000,11,4,25,31,50,0,864,0.10%,.0,.0
Make delete request,1000,44,26,57,81,376,4,2753,0.00%,9.3,.1
TOTAL,4000,28,18,50,63,115,0,2753,0.03%,.0,.0
