Make add request,1000,23,22,39,46,62,4,120,0.00%,14.8,.1
Make modify request,1000,23,20,34,38,69,3,960,0.00%,14.8,.1
Make search request,1000,8,7,19,24,32,0,951,0.00%,14.8,.1
Make delete request,1000,43,24,42,71,301,4,4414,0.00%,14.8,.1
TOTAL,4000,24,19,36,43,90,0,4414,0.00%,59.0,.6
